id,created_at,resolved_at,hold_hours,token,direction,trade_type,kronos,conviction,archetype,edge_source,leverage,entry_price,stop_loss,tp1_price,tp2_price,tp3_price,exit_price,outcome,pnl_pct,planned_risk_pct,realized_R
886,2026-04-22T14:04:50,2026-04-22T23:36:03,9.52,ETH,LONG,,false,39,,,2x,2418.5,2382.22,2478.96,,,2382.22,SL_HIT,-1.5001,1.5001,-1
894,2026-04-22T19:20:57,2026-04-22T23:36:03,4.25,PENDLE,LONG,,false,31,,,2x,1.3542,1.334,1.388,,,1.334,SL_HIT,-1.4917,1.4917,-1
895,2026-04-22T20:06:34,2026-04-22T23:36:03,3.49,WIF,SHORT,,false,33,,,2x,0.19648,0.1994,0.1916,,,0.1916,TP1_HIT,2.4837,1.4862,1.6712
914,2026-04-23T00:08:52,2026-04-23T00:09:11,0.01,SEI,LONG,,false,53,,,3x,0.06416,0.0615,0.0685,,,0.0615,SL_HIT,-4.1459,4.1459,-1
915,2026-04-23T00:08:52,2026-04-23T00:09:11,0.01,JUP,LONG,,false,36,,,3x,0.1848,0.1727,0.2049,,,0.1727,SL_HIT,-6.5476,6.5476,-1
891,2026-04-22T19:20:56,2026-04-23T00:10:11,4.82,ETH,LONG,,false,44,,,2x,2400.7,2364.69,2460.72,,,2364.69,SL_HIT,-1.5,1.5,-1
875,2026-04-22T12:24:54,2026-04-23T00:11:11,11.77,ONDO,LONG,,false,37,,,3x,0.26924,0.2598,0.2849,,,0.2598,SL_HIT,-3.5062,3.5062,-1
868,2026-04-22T11:45:49,2026-04-23T00:15:11,12.49,ETH,LONG,,false,36,,,2x,2393.4,2357.5,2453.24,,,2357.5,SL_HIT,-1.5,1.5,-1
893,2026-04-22T19:20:56,2026-04-23T00:15:11,4.9,BNB,LONG,,false,33,,,2x,645.74,636.05,661.88,,,636.05,SL_HIT,-1.5006,1.5006,-1
916,2026-04-23T00:10:08,2026-04-23T00:15:11,0.08,ONDO,LONG,,false,27,,,2x,0.2685,0.2593,0.2839,,,0.2593,SL_HIT,-3.4264,3.4264,-1
885,2026-04-22T14:04:25,2026-04-23T00:16:11,10.2,PENDLE,LONG,,false,31,,,2x,1.3342,1.314,1.368,,,1.314,SL_HIT,-1.514,1.514,-1
890,2026-04-22T19:20:55,2026-04-23T00:16:11,4.92,BTC,LONG,,false,44,,,2x,78889,77705.66,80861.23,,,77705.66,SL_HIT,-1.5,1.5,-1
864,2026-04-22T11:45:39,2026-04-23T11:57:05,24.19,BTC,LONG,,false,41,,,2x,78193,77020.1,80147.82,,,77688.498764,EXPIRED_LOSS,-0.6452,1.5,-0.4301
865,2026-04-22T11:45:39,2026-04-23T11:57:05,24.19,BNB,LONG,,false,33,,,2x,641.95,632.32,658,,,633.44480445,EXPIRED_LOSS,-1.3249,1.5001,-0.8832
867,2026-04-22T11:45:39,2026-04-23T11:57:05,24.19,HBAR,LONG,,false,31,,,2x,0.091104,0.0897,0.0934,,,0.09069002,EXPIRED_LOSS,-0.4544,1.5411,-0.2949
871,2026-04-22T11:54:01,2026-04-23T11:57:05,24.05,HYPE,LONG,,false,43,,,2x,40.919,40.305,41.942,,,41.12249019,EXPIRED_WIN,0.4973,1.5005,0.3314
903,2026-04-22T23:38:04,2026-04-23T11:57:05,12.32,ETH,LONG,,false,48,,,2x,2378.1,2342.43,2437.55,,,2342.43,SL_HIT,-1.4999,1.4999,-1
912,2026-04-23T00:02:12,2026-04-23T11:57:05,11.91,PENDLE,LONG,,false,33,,,2x,1.322,1.302,1.355,,,1.302,SL_HIT,-1.5129,1.5129,-1
873,2026-04-22T11:57:56,2026-04-23T11:58:05,24,SEI,SHORT,,false,44,,,2x,0.061355,0.0637,0.0575,,,0.06048302,EXPIRED_WIN,1.4212,3.822,0.3718
874,2026-04-22T12:24:54,2026-04-23T12:25:53,24.02,JUP,SHORT,,false,44,,,3x,0.17845,0.1842,0.1689,,,0.17039495,EXPIRED_WIN,4.5139,3.2222,1.4009
881,2026-04-22T13:56:03,2026-04-23T14:39:35,24.73,HBAR,LONG,,false,31,,,2x,0.091272,0.0899,0.0936,,,0.09061603,EXPIRED_LOSS,-0.7187,1.5032,-0.4781
882,2026-04-22T13:56:03,2026-04-23T14:39:35,24.73,HYPE,LONG,,false,39,,,2x,41.405,40.784,42.44,,,41.48801703,EXPIRED_WIN,0.2005,1.4998,0.1337
883,2026-04-22T13:56:28,2026-04-23T14:39:35,24.72,BTC,LONG,,false,47,,,2x,78722,77541.17,80690.05,,,77772.533958,EXPIRED_LOSS,-1.2061,1.5,-0.8041
888,2026-04-22T14:14:46,2026-04-23T14:39:35,24.41,SEI,SHORT,,false,44,,,3x,0.061432,0.0639,0.0573,,,0.06087702,EXPIRED_WIN,0.9034,4.0175,0.2249
892,2026-04-22T19:20:56,2026-04-23T21:30:53,26.17,DOGE,LONG,,false,33,,,2x,0.096944,0.0955,0.0994,,,0.09693004,EXPIRED_LOSS,-0.0144,1.4895,-0.0097
898,2026-04-22T20:12:12,2026-04-23T21:30:53,25.31,HBAR,LONG,,false,35,,,2x,0.09147,0.0901,0.0938,,,0.09067897,EXPIRED_LOSS,-0.8648,1.4978,-0.5774
899,2026-04-22T20:12:13,2026-04-23T21:30:53,25.31,HYPE,LONG,,false,51,,,2x,41.06,40.444,42.087,,,41.2804922,EXPIRED_WIN,0.537,1.5002,0.358
900,2026-04-22T20:25:11,2026-04-23T21:30:53,25.09,SEI,SHORT,,false,34,,,3x,0.061943,0.0641,0.0583,,,0.061199,EXPIRED_WIN,1.2011,3.4822,0.3449
901,2026-04-22T20:25:11,2026-04-23T21:30:53,25.09,JUP,SHORT,,false,36,,,3x,0.17462,0.184,0.159,,,0.17121508,EXPIRED_WIN,1.9499,5.3717,0.363
902,2026-04-22T23:38:04,2026-04-24T01:22:27,25.74,BTC,LONG,,false,34,,,2x,78239,77065.41,80194.98,,,78039.49055,EXPIRED_LOSS,-0.255,1.5,-0.17
904,2026-04-22T23:38:04,2026-04-24T01:22:27,25.74,DOGE,LONG,,false,33,,,2x,0.095836,0.0944,0.0982,,,0.09715997,EXPIRED_WIN,1.3815,1.4984,0.922
905,2026-04-22T23:38:05,2026-04-24T01:22:27,25.74,BNB,LONG,,false,37,,,2x,637.86,628.29,653.81,,,638.05008228,EXPIRED_WIN,0.0298,1.5003,0.0199
906,2026-04-22T23:38:05,2026-04-24T01:22:27,25.74,HYPE,LONG,,false,43,,,2x,41.091,40.475,42.118,,,41.15049977,EXPIRED_WIN,0.1448,1.4991,0.0966
907,2026-04-22T23:40:40,2026-04-24T01:22:27,25.7,WIF,SHORT,,false,48,,,2x,0.18994,0.198,0.1766,,,0.17916508,EXPIRED_WIN,5.6728,4.2434,1.3369
908,2026-04-22T23:44:15,2026-04-24T01:22:27,25.64,TIA,SHORT,,false,44,,,3x,0.36637,0.3775,0.3478,,,0.36149984,EXPIRED_WIN,1.3293,3.0379,0.4376
909,2026-04-22T23:44:15,2026-04-24T01:22:27,25.64,SEI,SHORT,,false,36,,,3x,0.060986,0.0639,0.0561,,,0.06280698,EXPIRED_LOSS,-2.9859,4.7781,-0.6249
910,2026-04-22T23:44:15,2026-04-24T01:22:27,25.64,JUP,SHORT,,false,36,,,3x,0.1719,0.1837,0.1522,,,0.17366507,EXPIRED_LOSS,-1.0268,6.8645,-0.1496
911,2026-04-22T23:44:15,2026-04-24T01:22:27,25.64,ONDO,SHORT,,false,41,,,2x,0.26122,0.2679,0.2501,,,0.26289494,EXPIRED_LOSS,-0.6412,2.5572,-0.2507
