id,source,token,direction,trade_type,entry_price,tp1_price,tp2_price,tp3_price,stop_loss,leverage,conviction,edge_score,kronos,kill_clock_hours,kill_clock_expires,outcome,pnl_pct,resolved_at,archetype,classification_source,scope,created_at
799,signals_tab,SOL,SHORT,,85.39400000,83.25900000,,,86.67500000,2x,39,,f,24,2026-04-22 13:38:44.468,SL_HIT,-1.5001,2026-04-21 14:41:02.119,,,global,2026-04-21 13:38:44.471012
798,signals_tab,TRUMP,SHORT,,2.85690000,2.78500000,,,2.90000000,2x,36,,f,24,2026-04-22 13:31:50.268,SL_HIT,-1.5086,2026-04-22 11:43:38.564,,,global,2026-04-21 13:31:50.270695
797,signals_tab,APT,SHORT,,0.93190000,0.90860000,,,0.94590000,2x,31,,f,24,2026-04-22 13:31:50.259,SL_HIT,-1.5023,2026-04-22 11:43:38.564,,,global,2026-04-21 13:31:50.261306
796,signals_tab,NEAR,SHORT,,1.36650000,1.33100000,,,1.38800000,2x,41,,f,24,2026-04-22 13:31:50.254,SL_HIT,-1.5734,2026-04-22 11:43:38.564,,,global,2026-04-21 13:31:50.256527
795,signals_tab,WIF,SHORT,,0.19809000,0.19310000,,,0.20110000,2x,36,,f,24,2026-04-22 13:31:50.225,SL_HIT,-1.5195,2026-04-22 12:00:00.635,,,global,2026-04-21 13:31:50.239452
794,signals_tab,SOL,SHORT,,85.35300000,83.21900000,,,86.63300000,2x,36,,f,24,2026-04-22 13:31:50.22,SL_HIT,-1.4997,2026-04-21 14:41:02.119,,,global,2026-04-21 13:31:50.222969
793,signals_tab,TRUMP,SHORT,,2.86260000,2.79100000,,,2.90600000,2x,48,,f,24,2026-04-22 13:28:15.25,SL_HIT,-1.5161,2026-04-22 11:43:38.564,,,global,2026-04-21 13:28:15.251609
792,signals_tab,APT,SHORT,,0.93310000,0.90980000,,,0.94710000,2x,38,,f,24,2026-04-22 13:28:15.24,SL_HIT,-1.5004,2026-04-22 11:43:38.564,,,global,2026-04-21 13:28:15.242432
791,signals_tab,NEAR,SHORT,,1.36800000,1.33400000,,,1.38900000,2x,45,,f,24,2026-04-22 13:28:15.235,SL_HIT,-1.5351,2026-04-22 11:43:38.564,,,global,2026-04-21 13:28:15.237726
790,signals_tab,WIF,SHORT,,0.19821000,0.19330000,,,0.20120000,2x,48,,f,24,2026-04-22 13:28:15.206,TP1_HIT,2.4772,2026-04-21 17:28:08.778,,,global,2026-04-21 13:28:15.217817
789,signals_tab,SOL,SHORT,,85.40800000,83.27300000,,,86.68900000,2x,48,,f,24,2026-04-22 13:28:15.2,SL_HIT,-1.4999,2026-04-21 14:41:02.119,,,global,2026-04-21 13:28:15.203933
788,signals_tab,BNB,LONG,,631.90000000,647.70000000,,,622.42000000,2x,33,,f,24,2026-04-22 13:19:17.372,EXPIRED_WIN,1.9552,2026-04-22 13:19:36.315,,,global,2026-04-21 13:19:17.37398
787,signals_tab,DOGE,LONG,,0.09488300,0.09730000,,,0.09350000,2x,33,,f,24,2026-04-22 13:19:17.362,TP1_HIT,2.5473,2026-04-22 11:43:38.564,,,global,2026-04-21 13:19:17.365243
786,signals_tab,WIF,SHORT,,0.19826000,0.19330000,,,0.20120000,2x,43,,f,24,2026-04-22 13:19:17.359,TP1_HIT,2.5018,2026-04-21 17:28:08.778,,,global,2026-04-21 13:19:17.361563
785,signals_tab,ETH,LONG,,2305.80000000,2363.45000000,,,2271.21000000,2x,44,,f,24,2026-04-22 13:19:17.338,TP1_HIT,2.5002,2026-04-22 11:43:38.564,,,global,2026-04-21 13:19:17.35449
784,signals_tab,BTC,LONG,,76027.00000000,77927.68000000,,,74886.60000000,2x,51,,f,24,2026-04-22 13:19:17.334,TP1_HIT,2.5000,2026-04-22 11:43:38.564,,,global,2026-04-21 13:19:17.3364
783,signals_tab,NEAR,SHORT,,1.36910000,1.33500000,,,1.39000000,2x,38,,f,24,2026-04-22 13:11:55.185,SL_HIT,-1.5266,2026-04-22 11:43:38.564,,,global,2026-04-21 13:11:55.19635
